word	polarity	subjectivity
#antes	0	-0.09
#antesdeomundoacabareuquero	0	-0.09
#antesdomundoacaba	0	-0.09
#antesdomundoacabar	0	-0.26
#antesdostrinta	0	-0.17
#antesera	0	-0.09
#antofagasta	0.16	-4.74
#antojonecesario	0.08	0.06
#antorcha	0	-0.17
#antv	0	-0.17
#anuncios	0	-0.09
#anymaniacos	0.08	0.05
#anymoanahi	0	-0.17
#anymochile	0.08	0.05
#anynuestrareina	0	-0.09
#anzoategui	-0.08	-0.13
#aosugo	0	-0.09
#aovivoemcores	0	-0.09
#apag	0	-0.34
#apagonchile	0	-0.09
#aparece	0	-0.09
#aparecio	0	-0.26
#apezz	0	-0.09
#aplauso	0	-0.09
#apocalips3	0	-0.17
#apocalipsis	0	-0.26
#apocalipsista	0	-0.09
#apocalyps3	0	-0.17
#apocalypsenow	-0.08	0.06
#apodos	-0.08	0.05
#aporrea	0	-0.09
#aporreanoticias	0	-3.36
#apoyemosachile	0	-0.17
#apoyemosachileyjapon	0	-0.09
#apoyemosanuestroshermanoschilenos	0	-0.09
#apoyo	0	-0.26
#apoyodigital	0	-0.09
#apoyodrapolo	0	-0.17
#app	0	-0.09
#apple	0	-0.69
#appwednesday	0.08	0.06
#aprop	0	-0.09
#apuntes	0	-0.09
#apurensemierdachilenopuedesperar	0	-0.09
#aqsa	0	-0.09
#aquiencorresponda	0	-0.09
#aquienleimporta	0	-0.17
#aquienvivo	0	-0.09
#ar	0	-0.09
#ar13	0	-0.09
#arabe	0	-0.17
#aracaju	0	-0.09
#aragua	0	-0.09
#arauc	0	-0.69
#araucan	0	-0.09
#araucania	0	-0.17
#arauco	0.59	-3.42
#araucotv	0	-0.09
#arcangelprra	-0.08	0.06
#archipielagojuanfernandez	0	-0.09
#arcticmonkeys	-0.08	0.06
#arcticmonkeysinsa	0	-1.03
#areapop	0	-0.09
#arfavor	0	-0.09
#arg	0	-0.26
#argentin	0	-0.17
#argentina	0.08	-5
#argentinanedsjonas	0	-0.09
#argentinasupportchile	0	-0.09
#argentinasupportschile	0	-0.09
#argentino	0	-0.17
#argentinosenchile	0	-1.38
#argetinos	0	-0.09
#aria	0	-0.09
#aric	0	-1.21
#arica	0.73	0.33
#arj	0	-0.26
#arjochanta	-0.08	0.06
#arjon	0.08	0.03
#arjona	-0.6	0.54
#arjonachant	-0.08	-0.9
#arjonachanta	-3.42	0.15
#arjonafail	0	-0.09
#arjonageneroso	0	-0.09
#arjonalamasca	0	-0.26
#arjonamalejemplo	0	-0.09
#arjonamasquechanta	-0.08	0.06
#arjonamaster	0	-0.09
#arjonapesta	0	-0.6
#arjonas_chantas	0	-0.09
#arjonasuccionalo	0	-0.09
#arjonasucks	0	-0.09
#armada	0	-0.09
#armadafail	0	-0.26
#arquitectos	0	-0.09
#arquitectura	0	-0.17
#arquiteturadominicana	-0.08	0.06
#arquivo	0	-0.26
#arrastandocorrentes	0	-0.09
#arrecha	0	-0.09
#arribachile	0.16	-0.17
#arrud	0	-0.09
#arrudanapapuda	0	-0.09
#arsenal	0	-0.09
#artigosedicas	0	-0.09
#arts	0	-0.09
#arvejas	0	-0.17
#as	-0.08	0.06
#asadodelfranco	0.08	0.05
#asamblealegislativa	0	-0.26
#ashleycole	0	-0.09
#asi	0	-0.09
#asi_somo	0	-0.09
#asi_somos	0.08	0.06
#asia	0	-0.09
#asicon	-0.08	0.05
#asiomasacido	-0.08	0.06
#asisomo	0	-0.34
#asisomos	0.86	-5
#asistencia	0	-0.09
#ask	0	-0.17
#askusher	-0.08	0.06
#asnohistorico	0	-0.26
#asofom	0	-0.09
#astronom	0	-0.09
#asuncion	0	-0.09
#asustan	0	-0.09
#at	0	-0.09
#atacama	0	-0.17
#ataque105	0.08	0.06
#ataquesdeanimales	0	-0.09
#atenci	0	-0.17
#atencion	0.08	0.06
#ateos	0	-0.09
#athletic	0	-0.6
#atinabachelet	-0.16	0.12
#atleticomadrid	0	-0.17
#atp	0	-0.43
#audigiftday	0	-0.09
#augustoschuster	0	-0.09
#aunnoamanecenchile	0	-0.09
#aunqueudnolocrea	0	-0.26
#aunqueustednolocrea	0	-0.17
#aunsinti	0	-0.09
#auravision	0	-0.09
#aurinews	-0.08	0.06
#auscutando	0	-0.34
#australia	0	-0.09
#austria	0	-0.09
#autocad	0	-0.17
#automotice	0	-2.07
#automotive	0	-0.17
#automovi	0	-0.09
#automovil	0	-0.09
#automovilismo	0	-0.09
#autotrolleo	0	-0.09
#av	0	-0.34
#avalanchainformativa	0	-0.09
#avatares	0	-0.09
#avataresdemisfollows	0	-0.17
#aveclechili	0	-0.09
#averdadesobreacabana	0	-0.09
#avianca	0	-0.09
#avisar	0	-0.09
#aviso	0	-4.57
#avisotsunamipacifico	0	-0.09
#avw	0	-0.09
#axsummit	0.16	0.12
#ay	0	-0.17
#aychiama	0	-0.09
#aychiamo	0	-0.09
#aydioevdd	0.08	0.05
#aydua	0	-0.34
#aymamaterremoto	0	-0.09
#aymimai	0.08	0.06
#aysen	0	-0.17
#aysenayuda	0.08	-1.59
#ayu	0	-0.26
#ayud	0.16	0.08
#ayuda	0.16	-2.93
#ayudach	-0.41	0.3
#ayudachile	-0.01	-5
#ayudachilebusco	0	-0.09
#ayudachilechile	0	-1.55
#ayudachilefue	0	-0.09
#ayudachille	0	-0.09
#ayudaconcagu	0	-0.09
#ayudaconcagua	0	-0.43
#ayudaconstitucion	0	-0.26
#ayudacurepto	0	-0.17
#ayudafuerzarmadachile	0	-0.52
#ayudamashe	0	-0.09
#ayudandoachile	0.08	0.06
#ayudar	0	-0.26
#ayudarural	0	-0.09
#ayudasns	0.08	0.05
#ayudatwitter	0	-0.17
#ayudemos	0	-0.09
#ayudemoschile	0	-1.38
#azar	0	-0.09
#azteca	-0.08	0.06
#b	0	-2.41
#ba	0	-0.17
#baba	0.16	0.12
#baby	0	-0.09
#bachelet	-0.1	0.1
#backhat	0	-0.09
#backpacker	0	-0.09
#backstretboys	0.08	0.06
#backstretgirlrules	0.08	0.06
#bad	-0.08	0.06
#badromance	0	-0.17
#bafwek	0.08	0.04
#bahiablanca	0	-0.09
#baile	0	-0.09
#bajon	-0.08	0.06
#baltasargarzon	0	-0.09
#banana	-0.08	0.05
#bananu00e3o	0	-0.09
#bancochile	0	-0.09
#bancodechile	0	-0.09
#bancoestado	0	-0.17
#bandicu	0	-0.09
#banesco	0	-0.17
#baraka	0.08	0.06
#barcelon	0	-0.09
#barcelona	0	-0.34
#baril	0	-0.09
#bariloche	0	-0.52
#barriolasro	0	-0.17
#barriolasrosas	0	-0.26
#basenaval	0.16	0.12
#bastadecomidachatarra	0.08	0.04
#batenoelieserdourado	0	-0.09
#bazinga	0	-0.09
#bb	0	-0.26
#bbb	0.05	0.18
#bbb10	0.05	-5
#bbbfacts	0	-0.09
#bbbmlday	-0.08	0.03
#bbc	0	-0.09
#bbcmundo	0	-0.09
#bbtgasteiz	0	-0.09
#bc	0	-0.09
#bday	0	-0.09
#bdaysincronicidade	0	-0.26
#bdp	0	-0.09
#beastlymovie	0	-0.34
#beberemos	0	-0.09
#bedromdiaries	0	-0.09
#beijing15	0	-0.34
#beijo	0	-0.09
#beisbolcubano	0	-0.09
#beleza	0	-0.09
#beliero	0	-0.09
#bellasyaudaces	0.08	0.06
#bellavista	0.32	0.09
#bellotanecesaria	0	-0.09
#belmarques	0	-0.09
#bemvindors	0	-0.09
#bencina	0	-0.09
#bencineras	0	-0.43
#bencinerasabiertas	0	-0.17
#bendecida	0.08	0.06
#bendiciones	0.08	0.06
#benedix	0	-0.17
#berenjena	0	-0.09
#bertioga	0	-0.09
#beto	0	-0.09
#betocuevas	0	-0.09
#bg	0	-0.09
#biankabraga	0	-0.09
#bibli	0	-0.09
#biblia	0	-0.34
#biblioredes	0.08	0.06
#bicentenario	-0.08	0.05
#bicicletada	0	-0.17
#bieber	0	-0.09
#biebercometochile	-0.08	0.06
#bieberinargentina	0	-0.52
#bien_hay	0.08	0.06
#bigfaill	0	-0.09
#bigfollow	0	-5
#bigode	0	-0.17
#bigotwet	-0.16	0.12
#bigotwitter	0	-0.09
#bigpicture	0	-0.26
#bik	0	-0.09
#bilbao	0.08	0.04
#biob	0	-0.09
#biobi	0	-0.09
#biobio	0.49	0.06
#biobiodeporte	0	-0.09
#biobiodeportes	0.16	-0.68
#biobiotemuco	0	-1.55
#biocombustiveis	0	-0.09
#bioconstruccion	0	-0.52
#biotecnologiauezo	0	-0.09
#bipolaridade	0	-0.09
#biquinecavadu00e3oelucas	0	-0.09
#biscapersonas	0	-0.09
#bitacoras	0	-0.78
#bitch	0.08	0.06
#bitdelavida	-0.08	0.06
#bizarr	0	-0.09
#bizarro	0	-0.09
#biznexo	0	-0.09
#bj	0	-0.09
#bjscoloridos	0	-0.26
#bl	0	-0.09
#blackjack	0	-0.09
#blahblahblah	0	-0.09
#blairwaldorf	0	-0.09
#blargh	0	-0.09
#blinkumentary	0	-0.09
#blog	0	-0.69
#bloggers	0	-0.09
#bloggol	0	-0.09
#blogportobello	0	-0.09
#blogs	0	-0.6
#blogsadv	0	-0.09
#bmw	0	-0.17
#bmwmotorrad	0	-0.09
#bmx	0	-0.26
#boa	0	-0.09
#bobolitro	0	-0.09
#boca	0	-0.09
#bocadelobos	0	-0.09
#boceja	0	-0.09
#bocejando	0	-0.09
#bocejar	0	-0.09
#bogota	0	-0.34
#bok_cover	0	-0.26
#bol	0	-0.09
#bolivia	0.24	-1.76
#bolos	0	-0.17
#bolsadempleo	0	-1.47
#bolsadetrabajo	0	-0.09
#bolu00e3otsunami	0	-0.09
#bombasbencina	0	-0.17
#bombasdebencina	0	-0.17
#bombero	0	-0.09
#bomberos	-0.08	-0.04
#bomberoschile	0	-0.09
#bomdia	0	-0.09
#bomdiaceara	0	-0.09
#bonecodeolinda	0	-0.09
#bones	0	-0.09
#bonster	0	-0.09
#borderio	0.08	0.06
#borregosccm	0.08	0.06
#boss	0.08	0.06
#botellitadejerez	0	-0.09
#botequimtuitajoaquim	0.08	0.01
